,Latitude_2019,Longitude_2019,elev_2019,Latitude_2011,Longitude_2011,elev_2011,Latitude_2012, Longitude_2012, elev_2012,Latitude_2013,Longitude_2013,elev_2013,Latitude_2014,Longitude_2014,elev_2014,Latitude_2015,Longitude_2015,elev_2015,Latitude_2016,Longitude_2016,elev_2016,Latitude_2018,Longitude_2018,elev_2018
3,69.262079,310.353741,498.9152,69.261955,310.387049,583.9003,69.261843,310.397113,501.9363,69.261944,310.386119,560.4596,69.261849,310.38678,565.4643,69.261808,310.386787,554.3839,69.261817,310.387876,557.077,,,
7,69.261725,310.35385,500.6826,69.261645,310.38725,581.1894,69.26157,310.39694,502.7016,69.261722,310.386267,561.0044,69.261581,310.386954,560.4006,69.261508,310.386978,549.5733,69.26152,310.388043,555.9726,,,
11,69.261371,310.353959,501.1722,69.261335,310.387451,579.5577,69.261298,310.396768,508.4834,69.2615,310.386416,558.4893,69.261313,310.387126,555.6644,69.261209,310.387168,551.4532,69.261223,310.388213,554.4818,,,
15,69.261017,310.354068,501.2428,69.261025,310.387651,576.1708,69.261026,310.396595,510.8007,69.261278,310.386567,556.5113,69.261045,310.387301,561.3656,69.260909,310.387359,554.3634,69.260926,310.388382,558.0676,,,
19,69.260663,310.354177,500.3445,69.260715,310.387852,577.5141,69.260754,310.396423,508.3257,69.261057,310.386719,557.6104,69.260778,310.387476,565.0849,69.260609,310.387549,546.2663,69.260629,310.388551,556.6909,,,
23,69.260309,310.354285,499.5473,69.260405,310.388053,579.6254,69.260481,310.39625,507.5423,69.260836,310.386872,562.8441,69.26051,310.387648,553.5298,69.26031,310.38774,547.4477,69.260332,310.388722,553.0037,,,
27,69.259956,310.354394,498.4757,69.260095,310.388253,574.3112,69.260209,310.396077,513.7071,69.260615,310.387026,559.9042,69.260242,310.387821,554.0878,69.26001,310.38793,554.4144,69.260035,310.388892,549.83,,,
31,69.259602,310.354502,497.243,69.259786,310.388454,571.6214,69.259937,310.395904,520.8829,69.260394,310.387183,558.8343,69.259974,310.387995,559.1421,69.259711,310.38812,546.3007,69.259738,310.389063,551.7633,,,
35,69.259249,310.35461,496.6962,69.259476,310.388655,573.6671,69.259664,310.395732,519.2175,69.260173,310.387339,557.1225,69.259706,310.388168,554.9198,69.259412,310.38831,543.8915,69.259441,310.389235,553.4907,,,
39,69.258895,310.354719,496.6524,69.259167,310.388856,572.4247,69.259392,310.395558,518.5744,69.259953,310.387497,557.1857,69.259439,310.388341,550.545,69.259112,310.388499,551.8306,69.259144,310.389407,548.3272,,,
43,69.258542,310.354827,498.4582,69.258858,310.389056,573.9329,69.259119,310.395384,525.0522,69.259732,310.387654,562.1516,69.259172,310.388514,553.1428,69.258813,310.38869,550.9122,69.258847,310.389579,548.9068,,,
47,69.258189,310.354936,498.694,69.258548,310.389257,575.4692,69.258847,310.39521,530.8389,69.259512,310.387813,558.05,69.258904,310.388687,555.8263,69.258514,310.388878,549.8537,69.258551,310.389752,554.9169,,,
51,69.257836,310.355045,498.2772,69.258239,310.389457,574.9949,69.258574,310.395036,534.9008,69.259293,310.387973,553.7768,69.258636,310.388859,554.8019,69.258215,310.389068,546.8548,69.258254,310.389925,556.8839,,,
55,69.257483,310.355154,496.5568,69.257931,310.389657,575.8809,69.258302,310.394861,534.4209,69.259073,310.388133,560.987,69.258369,310.389031,559.9232,69.257916,310.389257,545.842,69.257957,310.390099,554.5579,,,
59,69.25713,310.355263,494.5717,69.257622,310.389857,577.848,69.258029,310.394687,530.597,69.258853,310.388294,565.3384,69.258102,310.389205,556.9399,69.257617,310.389446,557.0086,69.257661,310.390273,555.8749,,,
63,69.256778,310.355373,494.4388,69.257313,310.390057,576.6878,69.257756,310.394512,531.0611,69.258634,310.388456,560.5402,69.257834,310.389376,552.4439,69.257319,310.389634,560.4248,69.257364,310.390447,561.2015,,,
67,69.256425,310.355483,494.568,69.257005,310.390257,578.9563,69.257484,310.394338,539.1419,69.258415,310.388619,563.1351,69.257567,310.389549,561.8148,69.25702,310.389823,550.0893,69.257068,310.390622,559.3738,,,
71,69.256072,310.355593,493.793,69.256697,310.390457,581.1076,69.257211,310.394163,543.9324,69.258196,310.388782,560.6743,69.257299,310.38972,560.8614,69.256722,310.390012,549.6351,69.256772,310.390797,559.2272,,,
75,69.25572,310.355704,493.3416,69.256389,310.390657,571.7388,69.256939,310.393987,546.9697,69.257977,310.388946,558.4292,69.257032,310.389892,561.6286,69.256424,310.3902,559.0136,69.256475,310.390972,555.1167,,,
79,69.255368,310.355815,492.6947,69.256081,310.390857,572.9392,69.256666,310.393813,548.0111,69.257758,310.38911,564.7027,69.256764,310.390063,567.409,69.256125,310.390388,562.2762,69.256178,310.391146,549.2305,,,
83,69.255015,310.355927,490.3871,69.255773,310.391057,579.9854,69.256393,310.393638,543.8857,69.257539,310.389274,571.0353,69.256497,310.390233,561.1595,69.255827,310.390576,558.4517,69.255882,310.391321,555.4292,,,
87,69.254663,310.356039,488.527,69.255466,310.391256,574.1725,69.256121,310.393463,546.5156,69.257321,310.389439,572.781,69.25623,310.390405,555.8787,69.255529,310.390764,552.9802,69.255586,310.391497,561.5509,,,
